CostCenter,PayGrade,Position_Type,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0010/6890000102,Not assigned,HIRE,2019,-1,-2,-3,-3,-3,-3,-3,-3,-2,-2,-1,1
0010/1205099492,18,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099492,22,EE,2019,131,131,131,131,131,131,131,131,131,131,131,131
0010/1205099492,23,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099492,24,EE,2019,18,18,18,18,18,18,18,18,18,18,18,18
0010/1205099492,25,EE,2019,10,10,10,10,10,10,10,10,10,10,10,10
0010/1205099492,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099492,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099492,Not assigned,HIRE,2019,-10,-12,-13,-13,-13,-13,-13,-13,-12,-12,-10,-7
0010/6460000204,18,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6460000204,22,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099875,16,EE,2019,62,62,62,62,62,62,62,62,62,62,62,62
0010/6685099875,17,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6685099875,18,EE,2019,37,37,37,37,37,37,37,37,37,37,37,37
0010/6685099875,19,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099875,22,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6685099875,24,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6685099875,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099875,Not assigned,HIRE,2019,-5,-7,-83,-125,-125,-125,-125,-125,-125,-125,-125,-125
0010/6590000213,16,EE,2019,41,41,41,41,41,41,41,41,41,41,41,41
0010/6590000213,17,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6590000213,18,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6590000213,22,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6590000213,Not assigned,HIRE,2019,16,16,16,16,16,16,16,16,16,16,16,16
0010/6820000257,24,HIRE,2019,0,0,5,6,7,10,12,16,17,17,20,21
0010/6820000257,24,ATTRITION,2019,0,0,0,0,0,0,-3,-3,-3,-5,-5,-5
0010/6820000257,25,HIRE,2019,2,2,2,2,3,3,3,4,4,4,4,4
0010/1209300004,22,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1209300004,23,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1209300004,24,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1209300004,25,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1209300004,25,HIRE,2019,0,0,0,0,1,1,1,2,2,3,3,3
0010/1209300004,25,ATTRITION,2019,0,0,-1,-1,-1,-2,-3,-3,-3,-3,-3,-3
0010/1209300004,26,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1209300004,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1209300004,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/5000000204,23,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/5000000204,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/5000000204,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/5010000202,23,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1200000416,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000326,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000326,22,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000326,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000326,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000326,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/5000000241,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/5910000204,26,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
