CostCenter,PayGrade,Position_Type,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0010/1205099447,25,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1205099447,26,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1205099447,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999892,17,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999892,17,HIRE,2019,0,0,1,1,1,1,1,1,1,1,1,1
0010/1205999892,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999892,23,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205999892,23,HIRE,2019,0,0,1,1,1,1,1,1,1,1,1,1
0010/1205999892,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999892,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999892,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999892,26,HIRE,2019,0,0,0,1,1,1,1,1,1,1,1,1
0010/1205999208,23,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999208,23,TRANSFER,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1205999208,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205999208,24,HIRE,2019,0,0,1,1,1,1,2,2,2,2,2,2
0010/1205999208,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999208,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999208,28,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999208,4B,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999257,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999257,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999257,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099794,17,HIRE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099794,22,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099794,23,HIRE,2019,1,1,1,1,2,3,4,4,4,4,4,4
0010/1205099794,24,HIRE,2019,0,0,1,1,1,1,1,1,1,1,1,1
0010/1205099794,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099794,25,HIRE,2019,5,5,5,5,5,5,6,6,6,6,6,6
0010/1205099794,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099794,28,HIRE,2019,0,0,0,0,0,0,1,1,1,1,1,1
0010/6005099414,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099785,21,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099785,23,HIRE,2019,0,0,1,2,2,2,2,2,2,2,2,2
0010/1205099785,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099785,25,EE,2019,7,7,7,7,7,7,7,7,7,7,7,7
0010/1205099785,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099785,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099785,28,HIRE,2019,0,0,0,0,0,1,1,1,1,1,1,1
0010/1205099785,29,HIRE,2019,0,0,1,1,1,1,1,1,1,1,1,1
0010/6505099054,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099763,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6595099336,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,19,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,22,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,22,HIRE,2019,0,0,0,0,0,0,0,0,7,7,7,7
0010/1205999498,22,ATTRITION,2019,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
0010/1205999498,23,ATTRITION,2019,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
0010/1205999498,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999498,25,HIRE,2019,0,0,0,0,0,0,0,0,16,16,16,16
0010/1205999498,25,ATTRITION,2019,0,0,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
0010/1205999498,27,HIRE,2019,0,0,0,1,1,1,1,1,2,2,2,2
0010/1205999498,27,ATTRITION,2019,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1205999498,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,4A,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999498,4B,HIRE,2019,0,0,0,0,0,0,0,1,1,1,1,1
0010/1200000871,24,HIRE,2019,45,45,45,45,45,45,45,45,45,45,45,45
0010/1510000233,25,HIRE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6050000225,25,HIRE,2019,13,13,13,13,13,13,13,13,13,13,13,13
0010/5570000202,24,HIRE,2019,0,6,12,20,28,28,39,39,45,45,45,45
0010/5570000202,24,ATTRITION,2019,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21
0010/5570000202,25,HIRE,2019,261,261,261,261,261,261,261,261,261,261,261,261
0010/1200000862,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000833,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000833,25,HIRE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6005099725,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000218,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000217,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6200000206,24,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6200000206,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6200000206,26,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6200000206,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000214,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6050000214,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6050000214,26,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/6050000214,26,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/6050000214,27,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6050000214,27,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000214,27,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/6050000214,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099740,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099740,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099740,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1515099740,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1515099740,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000213,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000213,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000213,4A,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000222,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000222,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6480000222,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000222,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6480000222,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000222,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099615,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099615,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099615,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099615,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999735,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999735,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999735,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999735,27,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999735,28,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099695,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099695,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099695,26,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1205099695,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1205099695,28,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099736,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099736,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099629,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099629,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099629,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000220,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6595099733,23,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/6595099733,23,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6595099733,24,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6595099733,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6595099733,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6595099733,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999681,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205999681,28,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1200000450,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1200000865,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099865,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099865,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099865,29,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1205099865,4A,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099865,4B,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000215,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000249,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6005099680,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000230,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000230,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000230,26,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1440000230,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000235,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1445099714,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099687,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1515099687,26,EE,2019,6,6,6,6,6,6,6,6,6,6,6,6
0010/1515099687,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1515099687,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099714,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099714,4B,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099693,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099693,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099693,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099750,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099750,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099750,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099691,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099691,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1515099691,26,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1515099691,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1515099691,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6240000210,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6250000204,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6250000204,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6260000204,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6220000209,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6220000209,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6220000209,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6220000209,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6220000209,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6230000204,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6230000204,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6070000205,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6550000224,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6550000224,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6780000220,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6570000214,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6570000214,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6570000214,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6505099823,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1495099760,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1495099760,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6505099822,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6505099822,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6505099822,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6505099822,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6310000261,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6310000261,25,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1205099893,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099893,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099893,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099704,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099704,25,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/1205099704,26,EE,2019,6,6,6,6,6,6,6,6,6,6,6,6
0010/1205099704,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1205099704,28,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099704,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099670,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099670,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099697,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099697,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6480000272,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000216,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6050000216,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6050000216,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099691,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099691,25,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/1205099691,25,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099691,26,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205099691,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1205099691,27,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099691,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099691,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000274,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000274,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6480000274,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1445099711,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1440000236,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6055099635,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1355099435,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1355099435,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6240000211,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1490000216,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1490000216,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1490000216,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6250000205,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6220000210,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6800000215,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6800000215,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6640000220,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6640000220,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6640000220,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6200000213,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6310000267,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6050000218,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6050000218,27,HIRE,2019,0,1,1,1,1,1,1,1,1,1,1,1
0010/6050000218,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000248,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1200000891,28,HIRE,2019,0,1,1,1,1,1,1,1,1,1,1,1
0010/1200000891,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000891,29,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6200000212,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6200000212,4B,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000223,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000223,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000223,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000223,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1495099737,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1495099737,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6805099671,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6805099671,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6500000318,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6500000318,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6500000318,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6500000318,28,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6500000318,28,HIRE,2019,0,1,1,1,1,1,1,1,1,1,1,1
0010/1200000756,18,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000756,25,TRANSFER,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1200000756,26,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1200000756,26,HIRE,2019,0,0,1,2,2,2,2,2,2,2,2,2
0010/1200000756,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1200000756,27,HIRE,2019,0,1,2,5,5,5,5,5,5,5,5,5
0010/1200000756,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000756,28,HIRE,2019,0,1,2,4,5,5,5,5,5,5,5,5
0010/1200000756,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000756,29,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000756,4B,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000507,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1200000507,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000507,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000507,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000210,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000210,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000217,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6200000211,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000210,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1440000210,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000204,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000204,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000211,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099695,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099695,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000840,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000273,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6480000273,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6645099709,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000841,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000246,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000246,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6460000226,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000842,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000842,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000842,27,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1480000222,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6465099953,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6465099953,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6450000212,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099751,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6310000262,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000843,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000843,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000234,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000210,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000210,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6000000210,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6450000204,22,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6450000204,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000203,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000203,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000203,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1480000203,27,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1200000844,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000844,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6460000228,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6460000227,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000209,24,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1440000209,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000209,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1440000209,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1520000210,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6005099710,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6005099710,23,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6005099710,23,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/6005099710,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6005099710,24,HIRE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6005099710,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6005099710,26,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6005099710,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6005099710,29,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1445099710,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1445099710,25,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1445099710,26,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1445099710,27,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/1445099710,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099715,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099715,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099710,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099710,26,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1515099710,27,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1515099710,28,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6040000214,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1485099720,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1485099720,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1485099720,26,ATTRITION,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0010/1485099710,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1485099710,25,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
